Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Kayla Thornton,33:58:00,7,14,0.5,4,11,0.364,2,2,1,1,3,4,5,0,0,3,20,10,NYL,202405310NYL
Betnijah Laney,32:24:00,3,7,0.429,0,1,0,2,2,1,2,2,2,1,0,2,2,8,14,NYL,202405310NYL
Marina Mabrey,37:48:00,6,16,0.375,2,6,0.333,1,2,0.5,1,9,2,1,0,3,1,15,-2,CHI,202406010IND
Dana Evans,34:44:00,5,11,0.455,0,3,0,2,2,1,0,4,4,1,0,1,1,12,-4,CHI,202406010IND
Angel Reese,29:32:00,2,9,0.222,0,0,,4,6,0.667,8,13,1,1,0,2,2,8,-2,CHI,202406010IND
Elizabeth Williams,21:54,1,7,0.143,0,0,,0,0,,0,5,1,1,1,2,4,2,-12,CHI,202406010IND
Michaela Onyenwere,8:27,0,2,0,0,1,0,0,0,,0,0,0,2,0,0,1,0,-5,CHI,202406010IND
Caitlin Clark,37:15:00,4,11,0.364,2,9,0.222,1,1,1,1,8,6,1,0,5,2,11,-2,IND,202406010IND
NaLyssa Smith,34:40:00,7,12,0.583,2,4,0.5,1,2,0.5,1,9,3,2,1,1,5,17,4,IND,202406010IND
Aliyah Boston,34:21:00,4,14,0.286,0,1,0,2,3,0.667,4,8,2,1,4,3,5,10,4,IND,202406010IND
Kelsey Mitchell,32:59:00,6,16,0.375,1,6,0.167,5,5,1,1,2,2,1,0,0,2,18,5,IND,202406010IND
Kristy Wallace,22:58,4,8,0.5,0,2,0,2,2,1,1,3,2,1,0,2,2,10,7,IND,202406010IND
Alyssa Thomas,35:15:00,3,10,0.3,0,0,,2,4,0.5,3,14,11,0,0,5,1,8,17,CON,202406020ATL
DiJonai Carrington,32:21:00,6,10,0.6,1,2,0.5,2,3,0.667,0,4,3,1,0,2,4,15,20,CON,202406020ATL
Tyasha Harris,32:13:00,4,13,0.308,3,9,0.333,2,2,1,0,4,3,1,0,1,0,13,22,CON,202406020ATL
DeWanna Bonner,30:26:00,8,15,0.533,2,4,0.5,0,2,0,1,10,1,0,2,4,4,18,12,CON,202406020ATL
Brionna Jones,27:18:00,4,7,0.571,0,0,,1,2,0.5,1,5,4,1,0,0,1,9,19,CON,202406020ATL
Rhyne Howard,32:20:00,2,9,0.222,0,5,0,0,0,,0,2,2,1,2,2,1,4,-17,ATL,202406020ATL
Tina Charles,30:58:00,5,18,0.278,0,1,0,2,2,1,4,12,1,4,1,3,2,12,-25,ATL,202406020ATL
Allisha Gray,29:46:00,3,11,0.273,1,3,0.333,2,2,1,1,4,1,1,0,2,0,9,-20,ATL,202406020ATL
Haley Jones,19:39,1,6,0.167,1,1,1,0,0,,0,1,1,0,1,1,1,3,-19,ATL,202406020ATL
Cheyenne Parker,13:13,2,5,0.4,0,0,,0,0,,0,3,1,0,1,1,5,4,-4,ATL,202406020ATL
Arike Ogunbowale,39:36:00,6,17,0.353,2,5,0.4,7,7,1,1,6,6,6,0,10,4,21,-14,DAL,202406020MIN
Monique Billings,39:35:00,9,14,0.643,1,1,1,0,0,,5,15,3,1,0,3,2,19,-9,DAL,202406020MIN
Maddy Siegrist,37:16:00,5,11,0.455,0,0,,2,2,1,1,2,2,1,0,2,1,12,-4,DAL,202406020MIN
Sevgi Uzun,35:42:00,5,12,0.417,1,4,0.25,1,2,0.5,0,4,4,3,0,5,4,12,0,DAL,202406020MIN
Teaira McCowan,27:55:00,3,8,0.375,0,1,0,2,2,1,1,6,3,1,3,2,1,8,-8,DAL,202406020MIN
Napheesa Collier,36:59:00,10,18,0.556,1,2,0.5,3,4,0.75,6,14,4,3,1,5,1,24,23,MIN,202406020MIN
Kayla McBride,33:07:00,7,17,0.412,5,9,0.556,6,7,0.857,0,0,4,2,0,0,1,25,16,MIN,202406020MIN
Alanna Smith,27:06:00,4,9,0.444,0,2,0,0,0,,1,3,1,2,2,1,2,8,10,MIN,202406020MIN
Bridget Carleton,23:22,1,4,0.25,1,3,0.333,0,0,,0,2,2,0,2,1,2,3,0,MIN,202406020MIN
Courtney Williams,19:24,3,6,0.5,0,0,,4,4,1,0,5,4,3,0,5,3,10,4,MIN,202406020MIN
NaLyssa Smith,31:03:00,8,14,0.571,1,1,1,0,0,,3,8,1,1,0,0,3,17,-26,IND,202406020NYL
Kelsey Mitchell,30:04:00,9,19,0.474,3,9,0.333,0,0,,0,0,0,0,0,1,1,21,-29,IND,202406020NYL
Caitlin Clark,28:50:00,1,10,0.1,1,7,0.143,0,0,,0,2,5,2,1,3,2,3,-28,IND,202406020NYL
Aliyah Boston,25:55:00,1,4,0.25,0,0,,3,5,0.6,1,4,3,2,0,2,0,5,-26,IND,202406020NYL
Kristy Wallace,19:46,2,7,0.286,1,3,0.333,1,2,0.5,1,2,1,1,0,0,2,6,-23,IND,202406020NYL
Jonquel Jones,29:24:00,8,11,0.727,1,3,0.333,1,2,0.5,2,13,4,2,1,3,0,18,24,NYL,202406020NYL
Sabrina Ionescu,27:27:00,5,10,0.5,2,6,0.333,4,5,0.8,1,6,6,0,0,4,2,16,29,NYL,202406020NYL
Betnijah Laney,25:26:00,7,9,0.778,1,1,1,5,5,1,1,2,5,2,0,2,0,20,27,NYL,202406020NYL
Breanna Stewart,24:05:00,5,11,0.455,1,4,0.25,2,2,1,0,6,5,0,0,0,4,13,29,NYL,202406020NYL
Courtney Vandersloot,23:20,4,4,1,0,0,,1,2,0.5,1,5,7,0,0,2,2,9,23,NYL,202406020NYL
Kia Nurse,34:29:00,3,10,0.3,1,6,0.167,5,6,0.833,0,1,4,0,0,1,2,12,-10,LAS,202406020PHO
Dearica Hamby,34:02:00,9,12,0.75,3,3,1,2,4,0.5,0,4,2,3,0,3,2,23,-10,LAS,202406020PHO
Rickea Jackson,26:46:00,3,10,0.3,1,2,0.5,2,2,1,2,7,1,0,0,0,2,9,-12,LAS,202406020PHO
Cameron Brink,25:40:00,3,6,0.5,0,1,0,0,1,0,2,5,1,0,2,2,5,6,-17,LAS,202406020PHO
Lexie Brown,12:23,0,5,0,0,2,0,0,0,,0,3,2,0,0,3,2,0,-10,LAS,202406020PHO
Natasha Cloud,35:16:00,7,16,0.438,3,5,0.6,4,7,0.571,0,3,12,2,2,2,2,21,22,PHO,202406020PHO
Sophie Cunningham,31:31:00,3,8,0.375,1,4,0.25,3,3,1,0,5,4,1,0,2,4,10,26,PHO,202406020PHO
Kahleah Copper,29:11:00,4,13,0.308,2,6,0.333,2,2,1,0,3,0,1,0,4,4,12,10,PHO,202406020PHO
Diana Taurasi,28:45:00,9,14,0.643,7,9,0.778,6,6,1,1,2,0,2,0,3,4,31,13,PHO,202406020PHO
Natasha Mack,26:21:00,2,4,0.5,0,0,,0,0,,5,12,1,0,1,1,2,4,21,PHO,202406020PHO
Breanna Stewart,38:29:00,14,25,0.56,2,7,0.286,3,3,1,4,14,3,1,1,2,2,33,15,NYL,202406040CHI
Sabrina Ionescu,37:20:00,9,19,0.474,4,10,0.4,2,2,1,1,7,4,2,1,0,1,24,18,NYL,202406040CHI
Betnijah Laney,31:24:00,4,12,0.333,2,3,0.667,4,5,0.8,1,3,5,2,0,0,4,14,17,NYL,202406040CHI
Courtney Vandersloot,29:17:00,3,5,0.6,0,0,,0,0,,1,4,6,0,1,4,3,6,7,NYL,202406040CHI
Jonquel Jones,25:14:00,2,7,0.286,0,4,0,1,2,0.5,2,12,4,1,1,4,5,5,23,NYL,202406040CHI
Marina Mabrey,34:41:00,4,12,0.333,2,5,0.4,5,5,1,1,6,5,1,0,3,3,15,-17,CHI,202406040CHI
Elizabeth Williams,28:18:00,5,8,0.625,0,0,,0,0,,3,8,2,0,1,2,0,10,-5,CHI,202406040CHI
Dana Evans,25:47:00,1,7,0.143,0,1,0,2,2,1,0,3,0,1,0,1,0,4,-16,CHI,202406040CHI
Angel Reese,24:03:00,3,12,0.25,0,1,0,7,8,0.875,5,10,1,0,1,1,5,13,-6,CHI,202406040CHI
Diamond DeShields,19:11,1,7,0.143,0,0,,2,2,1,0,2,2,0,1,0,2,4,-5,CHI,202406040CHI
Ariel Atkins,31:36:00,3,12,0.25,0,3,0,3,5,0.6,1,3,2,0,0,2,2,9,-10,WAS,202406040CON
Karlie Samuelson,31:24:00,3,9,0.333,3,6,0.5,0,0,,3,3,1,2,0,1,4,9,-18,WAS,202406040CON
Aaliyah Edwards,28:04:00,5,11,0.455,0,0,,4,4,1,4,9,0,1,1,3,2,14,-17,WAS,202406040CON
Stefanie Dolson,26:24:00,1,6,0.167,1,6,0.167,2,2,1,2,7,2,1,0,3,2,5,-7,WAS,202406040CON
Julie Vanloo,21:41,2,6,0.333,1,5,0.2,0,0,,0,3,5,0,0,2,1,5,-13,WAS,202406040CON
DeWanna Bonner,33:54:00,6,12,0.5,3,5,0.6,5,6,0.833,0,8,3,1,1,3,1,20,20,CON,202406040CON
Tyasha Harris,33:42:00,4,8,0.5,2,4,0.5,4,4,1,0,1,6,2,1,1,1,14,10,CON,202406040CON
Alyssa Thomas,32:14:00,3,10,0.3,0,0,,1,1,1,2,7,7,0,0,3,2,7,17,CON,202406040CON
DiJonai Carrington,29:03:00,2,7,0.286,0,3,0,0,0,,2,5,5,0,1,2,2,4,11,CON,202406040CON
Brionna Jones,21:46,6,8,0.75,0,0,,3,6,0.5,1,3,0,1,0,0,4,15,11,CON,202406040CON
Natasha Cloud,36:40:00,4,13,0.308,0,3,0,2,2,1,0,6,5,4,1,5,3,10,-14,PHO,202406040SEA
Diana Taurasi,31:38:00,3,12,0.25,0,6,0,1,1,1,1,5,0,0,0,1,3,7,-10,PHO,202406040SEA
Kahleah Copper,30:59:00,6,18,0.333,3,7,0.429,4,8,0.5,0,7,1,1,0,4,1,19,-18,PHO,202406040SEA
Sophie Cunningham,25:40:00,2,5,0.4,0,2,0,0,0,,0,3,2,1,0,1,2,4,-4,PHO,202406040SEA
Natasha Mack,22:11,1,3,0.333,0,0,,0,0,,1,2,1,1,3,0,1,2,-5,PHO,202406040SEA
Jewell Loyd,33:29:00,5,17,0.294,2,5,0.4,3,3,1,2,7,6,1,0,2,1,15,21,SEA,202406040SEA
Skylar Diggins-Smith,31:04:00,4,11,0.364,1,4,0.25,8,9,0.889,1,3,4,2,1,2,2,17,20,SEA,202406040SEA
Ezi Magbegor,30:35:00,9,13,0.692,1,3,0.333,2,2,1,2,9,2,2,3,4,2,21,25,SEA,202406040SEA
Victoria Vivians,25:56:00,3,9,0.333,2,4,0.5,2,2,1,0,7,3,0,0,1,2,10,19,SEA,202406040SEA
Mercedes Russell,25:08:00,2,2,1,0,0,,1,5,0.2,0,5,1,3,0,1,2,5,15,SEA,202406040SEA
Kelsey Plum,36:53:00,6,14,0.429,2,6,0.333,6,6,1,0,3,3,0,0,2,3,20,14,LVA,202406050DAL
Jackie Young,35:27:00,6,14,0.429,2,8,0.25,5,6,0.833,0,6,7,0,0,1,2,19,8,LVA,202406050DAL
A'ja Wilson,33:34:00,15,22,0.682,1,1,1,5,6,0.833,5,12,2,6,1,3,1,36,14,LVA,202406050DAL
Alysha Clark,29:34:00,3,6,0.5,3,5,0.6,0,0,,0,1,1,1,1,2,3,9,7,LVA,202406050DAL
Kiah Stokes,22:32,0,1,0,0,1,0,0,0,,0,5,2,0,3,3,3,0,28,LVA,202406050DAL
Arike Ogunbowale,37:15:00,9,23,0.391,3,9,0.333,10,10,1,1,4,7,4,0,6,5,31,-7,DAL,202406050DAL
Maddy Siegrist,37:11:00,5,12,0.417,1,4,0.25,3,4,0.75,3,5,2,0,1,2,2,14,-19,DAL,202406050DAL
Monique Billings,33:12:00,6,13,0.462,0,1,0,0,0,,1,6,0,0,1,2,3,12,-11,DAL,202406050DAL
Teaira McCowan,29:34:00,4,7,0.571,1,1,1,5,6,0.833,5,15,3,0,2,1,0,14,-15,DAL,202406050DAL
Sevgi Uzun,26:25:00,1,8,0.125,0,5,0,2,2,1,1,2,4,1,0,1,2,4,-10,DAL,202406050DAL
Napheesa Collier,32:17:00,10,15,0.667,1,3,0.333,4,5,0.8,2,9,3,2,0,2,3,25,15,MIN,202406050LAS
Bridget Carleton,32:03:00,5,7,0.714,4,4,1,1,2,0.5,2,7,2,0,0,1,2,15,21,MIN,202406050LAS
Alanna Smith,26:57:00,3,6,0.5,0,0,,4,4,1,1,5,4,1,2,1,3,10,22,MIN,202406050LAS
Kayla McBride,26:09:00,4,11,0.364,1,6,0.167,4,4,1,0,3,3,0,0,1,1,13,21,MIN,202406050LAS
Courtney Williams,21:04,4,10,0.4,1,3,0.333,0,0,,0,6,4,0,0,4,0,9,10,MIN,202406050LAS
Dearica Hamby,36:53:00,7,13,0.538,1,3,0.333,2,2,1,2,11,2,2,0,6,4,17,-20,LAS,202406050LAS
Layshia Clarendon,22:01,2,8,0.25,1,2,0.5,2,2,1,2,4,1,2,0,4,4,7,-25,LAS,202406050LAS
Kia Nurse,18:20,2,10,0.2,0,5,0,2,2,1,0,2,1,0,0,1,1,6,-18,LAS,202406050LAS
Cameron Brink,15:43,1,5,0.2,0,1,0,0,0,,3,6,2,0,2,0,6,2,-14,LAS,202406050LAS
Rickea Jackson,14:14,1,5,0.2,0,1,0,0,0,,1,2,1,0,0,1,1,2,-19,LAS,202406050LAS
Breanna Stewart,35:09:00,8,17,0.471,0,3,0,9,9,1,2,10,5,0,1,1,1,25,20,NYL,202406060ATL
Betnijah Laney,34:47:00,6,14,0.429,2,7,0.286,1,2,0.5,1,5,4,1,0,4,3,15,17,NYL,202406060ATL
Jonquel Jones,34:02:00,4,9,0.444,2,5,0.4,0,0,,0,8,2,0,3,4,2,10,9,NYL,202406060ATL
Sabrina Ionescu,31:07:00,4,13,0.308,1,5,0.2,1,2,0.5,1,5,5,2,0,1,2,10,12,NYL,202406060ATL
Kayla Thornton,26:20:00,2,9,0.222,2,6,0.333,0,0,,2,4,3,2,0,2,4,6,18,NYL,202406060ATL
Allisha Gray,32:24:00,7,15,0.467,0,6,0,2,3,0.667,2,5,0,2,0,2,1,16,-19,ATL,202406060ATL
Rhyne Howard,32:02:00,5,11,0.455,1,4,0.25,0,0,,1,6,5,2,2,0,2,11,-12,ATL,202406060ATL
Haley Jones,24:01:00,0,3,0,0,1,0,0,0,,0,1,1,0,0,2,2,0,-11,ATL,202406060ATL
Cheyenne Parker,21:36,1,9,0.111,0,1,0,6,6,1,4,6,1,1,0,3,1,8,-19,ATL,202406060ATL
Tina Charles,19:12,2,7,0.286,1,2,0.5,0,0,,0,8,1,1,1,1,1,5,-12,ATL,202406060ATL
Angel Reese,35:11:00,5,17,0.294,0,0,,6,8,0.75,6,11,3,5,0,1,5,16,13,CHI,202406060WAS
Marina Mabrey,32:10:00,4,7,0.571,1,4,0.25,1,1,1,0,3,2,1,0,3,3,10,5,CHI,202406060WAS
Dana Evans,13:23,0,4,0,0,2,0,0,0,,0,1,4,0,1,1,1,0,-7,CHI,202406060WAS
Diamond DeShields,10:53,1,4,0.25,0,3,0,0,0,,0,2,0,0,0,2,2,2,-8,CHI,202406060WAS
Elizabeth Williams,9:56,3,5,0.6,0,0,,0,0,,0,1,0,0,0,1,0,6,-2,CHI,202406060WAS
Aaliyah Edwards,35:40:00,10,12,0.833,0,0,,3,3,1,1,14,2,1,4,6,4,23,-13,WAS,202406060WAS
Karlie Samuelson,28:22:00,1,6,0.167,1,4,0.25,0,0,,1,5,2,0,0,1,3,3,-2,WAS,202406060WAS
Ariel Atkins,26:53:00,4,12,0.333,1,2,0.5,1,4,0.25,2,4,1,1,0,2,5,10,1,WAS,202406060WAS
Julie Vanloo,24:48:00,2,10,0.2,0,5,0,2,4,0.5,0,0,7,1,0,4,1,6,-9,WAS,202406060WAS
Stefanie Dolson,22:21,3,6,0.5,2,3,0.667,0,0,,0,0,5,0,2,2,5,8,5,WAS,202406060WAS
Arike Ogunbowale,38:23:00,10,28,0.357,0,9,0,2,2,1,0,1,4,4,0,3,2,22,-11,DAL,202406070LAS
Monique Billings,37:17:00,3,10,0.3,0,0,,2,2,1,2,12,3,0,1,2,4,8,-12,DAL,202406070LAS
Maddy Siegrist,36:09:00,9,11,0.818,2,3,0.667,1,2,0.5,2,6,1,0,1,0,1,21,-11,DAL,202406070LAS
Sevgi Uzun,34:13:00,3,9,0.333,0,3,0,3,3,1,0,4,1,1,0,4,2,9,-2,DAL,202406070LAS
Teaira McCowan,30:00:00,1,6,0.167,0,0,,4,4,1,1,7,3,2,1,3,5,6,-4,DAL,202406070LAS
Dearica Hamby,31:11:00,9,16,0.563,0,1,0,4,6,0.667,3,12,4,2,0,4,2,22,11,LAS,202406070LAS
Cameron Brink,25:40:00,5,11,0.455,0,2,0,0,0,,2,10,1,2,2,1,5,10,9,LAS,202406070LAS
Rickea Jackson,24:04:00,4,10,0.4,0,2,0,0,1,0,1,1,0,2,0,2,4,8,10,LAS,202406070LAS
Layshia Clarendon,20:04,3,4,0.75,0,1,0,1,2,0.5,0,1,1,0,0,1,1,7,-8,LAS,202406070LAS
Kia Nurse,15:19,0,4,0,0,2,0,0,0,,0,2,1,0,0,2,2,0,-6,LAS,202406070LAS
Ezi Magbegor,36:33:00,6,12,0.5,0,1,0,2,2,1,3,15,5,2,3,0,5,14,20,SEA,202406070LVA
Jewell Loyd,36:08:00,7,19,0.368,2,5,0.4,9,9,1,2,9,2,0,0,2,0,25,18,SEA,202406070LVA
Skylar Diggins-Smith,33:48:00,6,16,0.375,2,6,0.333,7,9,0.778,0,2,7,2,2,4,0,21,12,SEA,202406070LVA
Nneka Ogwumike,28:14:00,4,13,0.308,2,4,0.5,2,2,1,1,11,2,2,0,2,4,12,33,SEA,202406070LVA
Victoria Vivians,11:51,1,3,0.333,0,1,0,0,0,,0,1,0,1,0,0,1,2,9,SEA,202406070LVA
Kelsey Plum,40:00:00,7,17,0.412,3,8,0.375,1,1,1,0,1,2,2,0,2,2,18,-13,LVA,202406070LVA
A'ja Wilson,36:00:00,8,20,0.4,0,1,0,13,14,0.929,1,11,0,1,3,3,2,29,-14,LVA,202406070LVA
Jackie Young,27:34:00,1,12,0.083,1,6,0.167,0,0,,2,4,3,0,1,2,2,3,-26,LVA,202406070LVA
Alysha Clark,24:21:00,2,5,0.4,1,2,0.5,0,0,,0,2,2,0,0,4,5,5,-14,LVA,202406070LVA
Kiah Stokes,22:56,0,2,0,0,1,0,0,0,,0,8,1,1,4,0,2,0,-6,LVA,202406070LVA
Napheesa Collier,40:00:00,7,19,0.368,2,2,1,4,4,1,2,12,6,1,1,3,1,20,-1,MIN,202406070PHO
Kayla McBride,34:48:00,8,15,0.533,8,13,0.615,1,1,1,0,5,3,2,0,1,2,25,-4,MIN,202406070PHO
Bridget Carleton,32:52:00,1,5,0.2,1,4,0.25,1,2,0.5,1,2,2,0,1,2,3,4,-2,MIN,202406070PHO
Alanna Smith,28:44:00,4,9,0.444,1,4,0.25,3,4,0.75,1,4,6,1,2,0,5,12,-2,MIN,202406070PHO
Courtney Williams,23:25,3,8,0.375,0,0,,0,0,,0,6,2,0,0,3,3,6,-13,MIN,202406070PHO
Natasha Cloud,33:32:00,2,6,0.333,1,2,0.5,3,4,0.75,0,6,10,0,1,3,4,8,3,PHO,202406070PHO
Kahleah Copper,31:35:00,13,23,0.565,5,12,0.417,3,5,0.6,1,6,2,2,2,4,2,34,4,PHO,202406070PHO
Diana Taurasi,30:53:00,4,19,0.211,1,7,0.143,3,4,0.75,3,6,2,1,0,1,4,12,19,PHO,202406070PHO
Rebecca Allen,27:12:00,4,7,0.571,1,3,0.333,0,0,,0,4,0,2,1,1,0,9,-5,PHO,202406070PHO
Brittney Griner,21:24,3,6,0.5,0,0,,5,5,1,0,4,1,0,1,3,1,11,13,PHO,202406070PHO
Caitlin Clark,38:46:00,8,15,0.533,7,13,0.538,7,8,0.875,1,8,6,4,0,8,3,30,5,IND,202406070WAS
Kelsey Mitchell,35:14:00,6,13,0.462,3,6,0.5,1,1,1,0,1,4,3,0,2,4,16,-1,IND,202406070WAS
Aliyah Boston,33:10:00,3,9,0.333,0,1,0,4,6,0.667,1,6,3,1,0,2,4,10,-3,IND,202406070WAS
Kristy Wallace,32:52:00,3,7,0.429,3,7,0.429,0,0,,0,2,2,0,1,1,2,9,-6,IND,202406070WAS
NaLyssa Smith,29:04:00,4,9,0.444,1,3,0.333,1,2,0.5,1,10,0,0,1,1,3,10,-3,IND,202406070WAS
Ariel Atkins,34:32:00,7,21,0.333,2,8,0.25,0,0,,2,6,5,2,0,3,3,16,3,WAS,202406070WAS
Karlie Samuelson,31:37:00,4,10,0.4,3,9,0.333,0,0,,0,2,1,1,0,0,4,11,9,WAS,202406070WAS
Stefanie Dolson,29:45:00,7,10,0.7,5,6,0.833,0,0,,1,6,3,0,1,2,2,19,3,WAS,202406070WAS
Aaliyah Edwards,29:19:00,3,8,0.375,0,0,,4,8,0.5,3,12,2,0,0,1,2,10,7,WAS,202406070WAS
Julie Vanloo,28:41:00,3,7,0.429,3,7,0.429,0,0,,1,3,6,3,0,4,3,9,10,WAS,202406070WAS
Rhyne Howard,33:02:00,3,10,0.3,2,5,0.4,2,3,0.667,1,6,10,5,0,2,0,10,4,ATL,202406080CHI
Tina Charles,31:49:00,6,11,0.545,1,2,0.5,9,10,0.9,1,7,1,3,1,1,4,22,8,ATL,202406080CHI
Allisha Gray,31:26:00,3,9,0.333,2,4,0.5,6,6,1,1,3,0,1,1,2,4,14,14,ATL,202406080CHI
Cheyenne Parker,24:39:00,7,12,0.583,0,0,,4,4,1,4,4,4,2,0,1,3,18,9,ATL,202406080CHI
Haley Jones,13:50,3,5,0.6,0,1,0,0,0,,0,2,3,0,0,1,1,6,6,ATL,202406080CHI
Angel Reese,32:31:00,5,10,0.5,0,0,,3,4,0.75,2,13,2,5,0,3,3,13,-3,CHI,202406080CHI
Marina Mabrey,32:19:00,4,12,0.333,1,4,0.25,3,3,1,0,3,2,0,0,2,5,12,-15,CHI,202406080CHI
Dana Evans,30:50:00,5,8,0.625,1,2,0.5,2,2,1,0,0,5,1,0,6,2,13,0,CHI,202406080CHI
Kamilla Cardoso,21:24,6,11,0.545,0,0,,1,2,0.5,5,5,1,0,0,2,5,13,4,CHI,202406080CHI
Diamond DeShields,20:46,2,6,0.333,0,3,0,4,4,1,0,0,3,0,0,1,2,8,-1,CHI,202406080CHI
Breanna Stewart,38:23:00,5,11,0.455,1,3,0.333,2,2,1,0,7,5,1,1,2,3,13,12,NYL,202406080CON
Jonquel Jones,37:32:00,9,14,0.643,4,7,0.571,0,0,,0,8,5,1,4,3,2,22,6,NYL,202406080CON
Betnijah Laney,36:44:00,4,8,0.5,0,3,0,2,2,1,0,7,6,3,0,3,3,10,14,NYL,202406080CON
Sabrina Ionescu,34:11:00,8,16,0.5,2,6,0.333,6,6,1,0,3,5,2,0,2,3,24,8,NYL,202406080CON
Kayla Thornton,30:25:00,2,5,0.4,1,2,0.5,1,2,0.5,0,1,3,0,0,1,1,6,2,NYL,202406080CON
Alyssa Thomas,40:00:00,5,11,0.455,0,0,,0,2,0,2,12,7,1,0,5,2,10,-7,CON,202406080CON
Tyasha Harris,38:26:00,5,16,0.313,1,6,0.167,0,1,0,0,3,2,1,0,3,1,11,-10,CON,202406080CON
Brionna Jones,34:30:00,5,12,0.417,0,1,0,3,3,1,2,4,2,0,0,0,2,13,-2,CON,202406080CON
DeWanna Bonner,34:14:00,4,14,0.286,2,6,0.333,6,6,1,2,8,3,1,1,0,4,16,-10,CON,202406080CON
DiJonai Carrington,28:55:00,5,10,0.5,0,2,0,2,2,1,2,4,2,0,1,3,3,12,-15,CON,202406080CON
Kahleah Copper,44:27:00,9,22,0.409,4,11,0.364,7,8,0.875,0,3,1,0,0,6,4,29,5,PHO,202406090DAL
Natasha Cloud,44:25:00,2,6,0.333,1,2,0.5,2,2,1,0,4,7,3,0,6,4,7,-2,PHO,202406090DAL
Diana Taurasi,39:21:00,8,21,0.381,2,11,0.182,2,2,1,0,7,7,1,1,3,3,20,14,PHO,202406090DAL
Brittney Griner,38:55:00,11,16,0.688,0,1,0,2,3,0.667,5,9,5,0,2,1,1,24,12,PHO,202406090DAL
Rebecca Allen,30:27:00,3,8,0.375,0,3,0,0,0,,2,3,1,2,0,0,4,6,-5,PHO,202406090DAL
Arike Ogunbowale,50:00:00,9,27,0.333,3,11,0.273,4,6,0.667,2,7,10,4,0,3,3,25,-7,DAL,202406090DAL
Maddy Siegrist,47:35:00,5,13,0.385,1,4,0.25,1,1,1,0,3,0,0,0,0,4,12,-7,DAL,202406090DAL
Monique Billings,47:16:00,5,7,0.714,0,1,0,0,0,,3,11,3,1,1,5,4,10,-6,DAL,202406090DAL
Teaira McCowan,36:30:00,9,14,0.643,0,0,,2,4,0.5,3,9,4,1,1,6,6,20,-9,DAL,202406090DAL
Sevgi Uzun,33:11:00,4,10,0.4,2,6,0.333,1,1,1,0,2,2,1,0,3,1,11,4,DAL,202406090DAL
Kelsey Plum,39:10:00,7,22,0.318,4,11,0.364,6,6,1,0,2,5,0,0,0,1,24,-3,LVA,202406090LAS
A'ja Wilson,37:13:00,10,17,0.588,2,2,1,9,11,0.818,1,8,5,2,6,1,2,31,2,LVA,202406090LAS
Kate Martin,32:09:00,5,7,0.714,3,3,1,0,0,,0,4,3,0,0,2,3,13,1,LVA,202406090LAS
Alysha Clark,31:20:00,2,5,0.4,1,3,0.333,0,0,,0,1,2,1,0,3,2,5,1,LVA,202406090LAS
Kiah Stokes,14:32,1,1,1,0,0,,0,0,,1,3,0,1,0,0,5,2,3,LVA,202406090LAS
Dearica Hamby,35:35:00,6,10,0.6,1,2,0.5,5,6,0.833,1,10,5,1,0,6,4,18,-3,LAS,202406090LAS
Cameron Brink,26:59:00,2,8,0.25,1,3,0.333,3,4,0.75,3,6,1,0,5,3,4,8,-2,LAS,202406090LAS
Rickea Jackson,22:54,7,11,0.636,1,4,0.25,1,1,1,1,5,1,0,1,0,2,16,-11,LAS,202406090LAS
Layshia Clarendon,16:11,2,4,0.5,0,1,0,3,3,1,1,1,5,0,0,1,3,7,-1,LAS,202406090LAS
Kia Nurse,13:51,2,6,0.333,1,4,0.25,2,3,0.667,0,0,2,0,0,0,2,7,-7,LAS,202406090LAS
Jewell Loyd,37:06:00,9,27,0.333,1,9,0.111,6,9,0.667,1,7,3,1,0,1,1,25,-13,SEA,202406090MIN
Ezi Magbegor,34:16:00,2,8,0.25,0,2,0,2,2,1,4,7,1,3,3,3,5,6,-18,SEA,202406090MIN
Nneka Ogwumike,34:16:00,7,14,0.5,0,2,0,0,0,,3,6,3,0,1,2,5,14,-11,SEA,202406090MIN
Skylar Diggins-Smith,33:11:00,3,12,0.25,1,3,0.333,0,0,,2,3,3,3,2,3,2,7,-21,SEA,202406090MIN
Victoria Vivians,18:19,1,4,0.25,1,2,0.5,0,0,,2,5,0,0,0,1,2,3,-10,SEA,202406090MIN
Napheesa Collier,35:23:00,7,15,0.467,2,4,0.5,3,4,0.75,1,14,3,1,1,6,3,19,15,MIN,202406090MIN
Kayla McBride,32:14:00,9,13,0.692,7,10,0.7,7,7,1,0,2,1,0,0,2,0,32,20,MIN,202406090MIN
Bridget Carleton,30:54:00,5,10,0.5,3,5,0.6,0,0,,0,0,3,0,0,0,2,13,14,MIN,202406090MIN
Alanna Smith,27:52:00,1,3,0.333,0,1,0,5,6,0.833,2,3,7,3,2,1,2,7,19,MIN,202406090MIN
Courtney Williams,27:52:00,1,11,0.091,0,2,0,2,2,1,1,4,3,1,2,4,3,4,11,MIN,202406090MIN
Ariel Atkins,37:38:00,5,10,0.5,3,7,0.429,0,0,,1,2,5,1,0,2,3,13,-2,WAS,202406090NYL
